symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
RDW,flat,0.0,0.0,9.015,19.2331,173.386397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
SCCO,short,-0.0333333333333333,-2965.98933333333,180.7,-16.0,-2889.28,16.413886736764415,16.0,-16.0,0.0,-16.0,-0.032471233881713225,0.0008620994516200733,76.7093333333296,0.0,0.0,186.12099999999998,True,"['short_target_integer', 'carried_by_min_trade_notional']"
SEI,long,0.0332953659818521,2962.6110105480852,62.28,48.7301,3034.910628,47.56921982254472,47.5692,47.5692,0.0,47.5692,0.033295352107357554,-1.387449454745688e-08,-0.001234548084994458,0.0,0.0,62.35473600000001,False,[]
SHOP,short,-0.0333333333333333,-2965.98933333333,122.39,-23.9777,-2931.753379,24.23391889315573,24.0,-24.0,-0.02230000000000132,-23.9777,-0.032948571842470104,0.00038476149086319006,34.23595433332957,0.0,0.0,126.0617,True,"['short_target_integer', 'carried_by_min_trade_notional']"
SMCI,short,-0.0234807441791495,-2089.309103222585,24.68,-87.0,-2147.16,84.65596042230895,85.0,-85.0,0.0,-85.0,-0.023576169300676294,-9.542512152679579e-05,-8.4908967774154,0.0,0.0,25.4204,True,['short_target_integer']
SRPT,long,0.0016719089193295,148.76592063108473,16.93,8.7864,148.49016,8.787118761434419,8.7864,8.7864,0.0,8.7864,0.0016688097776930645,-3.0991416364356705e-06,-0.27576063108472226,0.0,0.0,16.950316,False,['carried_by_min_trade_notional']
SSRM,long,0.0333333333333333,2965.98933333333,25.74,115.1048,2963.373076,115.2288008288007,115.1048,115.1048,0.0,115.1048,0.03330393047041752,-2.9402862915779658e-05,-2.6162573333299406,0.0,0.0,25.770888,False,['carried_by_min_trade_notional']
TEM,long,0.0333333333333333,2965.98933333333,49.63,42.9478,2127.634012,59.76202565652488,59.762,59.762,0.0,59.762,0.03333331902294996,-1.4310383333180435e-08,-0.0012733333296637284,16.8142,835.4901324952001,49.68955600000001,False,[]
TMO,short,-0.0333333333333333,-2965.98933333333,517.09,-5.001,-2589.66783,5.735924758423736,6.0,-6.0,0.001000000000000334,-6.001,-0.034873772191583524,-0.001540438858250226,-137.06775666667045,1.0,532.6027,532.6027,True,['short_target_integer']
TRV,short,-0.0125771338909847,-1119.1093489369734,364.87,0.0,0.0,3.067145418743589,3.0,-3.0,0.0,-3.0,-0.012301797444090608,0.00027533644689409226,24.49934893697332,3.0,1127.4483,375.8161,True,['short_target_integer']
